dataset,network,strategy,strategy_label,info_label,info_name,mean_num_shared,mean_total_shared_ratio,mean_num_viewed,mean_total_viewed_ratio,mean_num_fst_viewed,mean_total_fst_viewed_ratio,source_network,structure_level,seed_index,comm_method,method_seed,config_path,graph_path,comm_path,lfr_community_path,target_top20_ratio,target_middle20_ratio,target_bottom20_ratio,target_top20_count,target_middle20_count,target_bottom20_count,target_top20_communities_touched,target_middle20_communities_touched,target_bottom20_communities_touched,anchor_top20_community,anchor_middle20_community,anchor_bottom20_community,num_nodes,num_edges,avg_degree,median_degree,p90_degree,p99_degree,avg_clustering,transitivity,max_degree,lfr_communities,lfr_modularity,lfr_internal_edges,lfr_external_edges,lfr_internal_edge_ratio,lfr_external_edge_ratio,lfr_comm_size_min,lfr_comm_size_median,lfr_comm_size_max,comm_mean,comm_std,comm_min,comm_q10,comm_q25,comm_median,comm_q75,comm_q90,comm_max,comm_count_zero,comm_count_one,top20_count,top20_degree_mean,top20_degree_median,top20_degree_p90,top20_max_degree,top20_communities_touched,top20_largest_comm_count,top20_largest_comm_ratio,middle20_count,middle20_degree_mean,middle20_degree_median,middle20_degree_p90,middle20_max_degree,middle20_communities_touched,middle20_largest_comm_count,middle20_largest_comm_ratio,bottom20_count,bottom20_degree_mean,bottom20_degree_median,bottom20_degree_p90,bottom20_max_degree,bottom20_communities_touched,bottom20_largest_comm_count,bottom20_largest_comm_ratio
lfr_facebook_pool,lfrpool_strong_facebook_like_seed1,balance,"Balance (0.8, 0.8)",0,misinformation,476.17,0.47617000000000004,8876.09,8.87609,3415.85,3.41585,lfr_strong_seed1,strong,1,facebook_like,20261902,v2/test_2/network/network-lfrpool_strong_facebook_like_seed1.toml,v2/test_2/network/lfr_facebook_pool/lfrpool_strong_facebook_like_seed1/edgelist.txt,v2/test_2/network/lfr_facebook_pool/lfrpool_strong_facebook_like_seed1/comm.csv,v2/test_2/network/lfr_facebook_pool/lfrpool_strong_facebook_like_seed1/lfr_communities.csv,0.645,0.381,0.526,129,76,105,3,9,5,9,11,5,1000,18404,36.808,32.0,61.0,101.02999999999997,0.4355018009048542,0.37615796322883566,119,12,0.8128791977080287,16980,1424,0.9226255161921322,0.07737448380786785,48,64.0,137,0.5005,0.2886749902572095,0.001,0.10090000000000002,0.25075000000000003,0.5005,0.75025,0.9001,1.0,0,1,200,38.28,33.0,64.19999999999999,119,3,129,0.645,200,35.815,32.0,58.19999999999999,118,9,76,0.38,200,41.53,35.0,71.29999999999998,115,5,105,0.525
lfr_facebook_pool,lfrpool_strong_facebook_like_seed1,balance,"Balance (0.8, 0.8)",1,corrective,641.59,0.64159,13193.43,13.193430000000001,5547.6,5.5476,lfr_strong_seed1,strong,1,facebook_like,20261902,v2/test_2/network/network-lfrpool_strong_facebook_like_seed1.toml,v2/test_2/network/lfr_facebook_pool/lfrpool_strong_facebook_like_seed1/edgelist.txt,v2/test_2/network/lfr_facebook_pool/lfrpool_strong_facebook_like_seed1/comm.csv,v2/test_2/network/lfr_facebook_pool/lfrpool_strong_facebook_like_seed1/lfr_communities.csv,0.645,0.381,0.526,129,76,105,3,9,5,9,11,5,1000,18404,36.808,32.0,61.0,101.02999999999997,0.4355018009048542,0.37615796322883566,119,12,0.8128791977080287,16980,1424,0.9226255161921322,0.07737448380786785,48,64.0,137,0.5005,0.2886749902572095,0.001,0.10090000000000002,0.25075000000000003,0.5005,0.75025,0.9001,1.0,0,1,200,38.28,33.0,64.19999999999999,119,3,129,0.645,200,35.815,32.0,58.19999999999999,118,9,76,0.38,200,41.53,35.0,71.29999999999998,115,5,105,0.525
lfr_facebook_pool,lfrpool_strong_facebook_like_seed1,balance,"Balance (0.8, 0.8)",2,observational,324.3478260869565,0.3243478260869565,5991.565217391304,5.9915652173913045,1026.304347826087,1.026304347826087,lfr_strong_seed1,strong,1,facebook_like,20261902,v2/test_2/network/network-lfrpool_strong_facebook_like_seed1.toml,v2/test_2/network/lfr_facebook_pool/lfrpool_strong_facebook_like_seed1/edgelist.txt,v2/test_2/network/lfr_facebook_pool/lfrpool_strong_facebook_like_seed1/comm.csv,v2/test_2/network/lfr_facebook_pool/lfrpool_strong_facebook_like_seed1/lfr_communities.csv,0.645,0.381,0.526,129,76,105,3,9,5,9,11,5,1000,18404,36.808,32.0,61.0,101.02999999999997,0.4355018009048542,0.37615796322883566,119,12,0.8128791977080287,16980,1424,0.9226255161921322,0.07737448380786785,48,64.0,137,0.5005,0.2886749902572095,0.001,0.10090000000000002,0.25075000000000003,0.5005,0.75025,0.9001,1.0,0,1,200,38.28,33.0,64.19999999999999,119,3,129,0.645,200,35.815,32.0,58.19999999999999,118,9,76,0.38,200,41.53,35.0,71.29999999999998,115,5,105,0.525
lfr_facebook_pool,lfrpool_strong_facebook_like_seed1,balance,"Balance (0.8, 0.8)",3,behavior-guiding,146.5,0.1465,3149.38,3.1493800000000003,1787.78,1.78778,lfr_strong_seed1,strong,1,facebook_like,20261902,v2/test_2/network/network-lfrpool_strong_facebook_like_seed1.toml,v2/test_2/network/lfr_facebook_pool/lfrpool_strong_facebook_like_seed1/edgelist.txt,v2/test_2/network/lfr_facebook_pool/lfrpool_strong_facebook_like_seed1/comm.csv,v2/test_2/network/lfr_facebook_pool/lfrpool_strong_facebook_like_seed1/lfr_communities.csv,0.645,0.381,0.526,129,76,105,3,9,5,9,11,5,1000,18404,36.808,32.0,61.0,101.02999999999997,0.4355018009048542,0.37615796322883566,119,12,0.8128791977080287,16980,1424,0.9226255161921322,0.07737448380786785,48,64.0,137,0.5005,0.2886749902572095,0.001,0.10090000000000002,0.25075000000000003,0.5005,0.75025,0.9001,1.0,0,1,200,38.28,33.0,64.19999999999999,119,3,129,0.645,200,35.815,32.0,58.19999999999999,118,9,76,0.38,200,41.53,35.0,71.29999999999998,115,5,105,0.525
lfr_facebook_pool,lfrpool_strong_facebook_like_seed1,certainty_high,"Certainty high (0.9, 0.5)",0,misinformation,477.23,0.47723000000000004,8889.07,8.88907,3414.34,3.41434,lfr_strong_seed1,strong,1,facebook_like,20261902,v2/test_2/network/network-lfrpool_strong_facebook_like_seed1.toml,v2/test_2/network/lfr_facebook_pool/lfrpool_strong_facebook_like_seed1/edgelist.txt,v2/test_2/network/lfr_facebook_pool/lfrpool_strong_facebook_like_seed1/comm.csv,v2/test_2/network/lfr_facebook_pool/lfrpool_strong_facebook_like_seed1/lfr_communities.csv,0.645,0.381,0.526,129,76,105,3,9,5,9,11,5,1000,18404,36.808,32.0,61.0,101.02999999999997,0.4355018009048542,0.37615796322883566,119,12,0.8128791977080287,16980,1424,0.9226255161921322,0.07737448380786785,48,64.0,137,0.5005,0.2886749902572095,0.001,0.10090000000000002,0.25075000000000003,0.5005,0.75025,0.9001,1.0,0,1,200,38.28,33.0,64.19999999999999,119,3,129,0.645,200,35.815,32.0,58.19999999999999,118,9,76,0.38,200,41.53,35.0,71.29999999999998,115,5,105,0.525
lfr_facebook_pool,lfrpool_strong_facebook_like_seed1,certainty_high,"Certainty high (0.9, 0.5)",1,corrective,609.83,0.6098300000000001,12571.38,12.57138,5272.86,5.27286,lfr_strong_seed1,strong,1,facebook_like,20261902,v2/test_2/network/network-lfrpool_strong_facebook_like_seed1.toml,v2/test_2/network/lfr_facebook_pool/lfrpool_strong_facebook_like_seed1/edgelist.txt,v2/test_2/network/lfr_facebook_pool/lfrpool_strong_facebook_like_seed1/comm.csv,v2/test_2/network/lfr_facebook_pool/lfrpool_strong_facebook_like_seed1/lfr_communities.csv,0.645,0.381,0.526,129,76,105,3,9,5,9,11,5,1000,18404,36.808,32.0,61.0,101.02999999999997,0.4355018009048542,0.37615796322883566,119,12,0.8128791977080287,16980,1424,0.9226255161921322,0.07737448380786785,48,64.0,137,0.5005,0.2886749902572095,0.001,0.10090000000000002,0.25075000000000003,0.5005,0.75025,0.9001,1.0,0,1,200,38.28,33.0,64.19999999999999,119,3,129,0.645,200,35.815,32.0,58.19999999999999,118,9,76,0.38,200,41.53,35.0,71.29999999999998,115,5,105,0.525
lfr_facebook_pool,lfrpool_strong_facebook_like_seed1,certainty_high,"Certainty high (0.9, 0.5)",2,observational,343.6333333333333,0.34363333333333335,6367.966666666666,6.367966666666667,1045.0666666666666,1.0450666666666666,lfr_strong_seed1,strong,1,facebook_like,20261902,v2/test_2/network/network-lfrpool_strong_facebook_like_seed1.toml,v2/test_2/network/lfr_facebook_pool/lfrpool_strong_facebook_like_seed1/edgelist.txt,v2/test_2/network/lfr_facebook_pool/lfrpool_strong_facebook_like_seed1/comm.csv,v2/test_2/network/lfr_facebook_pool/lfrpool_strong_facebook_like_seed1/lfr_communities.csv,0.645,0.381,0.526,129,76,105,3,9,5,9,11,5,1000,18404,36.808,32.0,61.0,101.02999999999997,0.4355018009048542,0.37615796322883566,119,12,0.8128791977080287,16980,1424,0.9226255161921322,0.07737448380786785,48,64.0,137,0.5005,0.2886749902572095,0.001,0.10090000000000002,0.25075000000000003,0.5005,0.75025,0.9001,1.0,0,1,200,38.28,33.0,64.19999999999999,119,3,129,0.645,200,35.815,32.0,58.19999999999999,118,9,76,0.38,200,41.53,35.0,71.29999999999998,115,5,105,0.525
lfr_facebook_pool,lfrpool_strong_facebook_like_seed1,certainty_high,"Certainty high (0.9, 0.5)",3,behavior-guiding,182.51,0.18251,3778.82,3.77882,2030.86,2.03086,lfr_strong_seed1,strong,1,facebook_like,20261902,v2/test_2/network/network-lfrpool_strong_facebook_like_seed1.toml,v2/test_2/network/lfr_facebook_pool/lfrpool_strong_facebook_like_seed1/edgelist.txt,v2/test_2/network/lfr_facebook_pool/lfrpool_strong_facebook_like_seed1/comm.csv,v2/test_2/network/lfr_facebook_pool/lfrpool_strong_facebook_like_seed1/lfr_communities.csv,0.645,0.381,0.526,129,76,105,3,9,5,9,11,5,1000,18404,36.808,32.0,61.0,101.02999999999997,0.4355018009048542,0.37615796322883566,119,12,0.8128791977080287,16980,1424,0.9226255161921322,0.07737448380786785,48,64.0,137,0.5005,0.2886749902572095,0.001,0.10090000000000002,0.25075000000000003,0.5005,0.75025,0.9001,1.0,0,1,200,38.28,33.0,64.19999999999999,119,3,129,0.645,200,35.815,32.0,58.19999999999999,118,9,76,0.38,200,41.53,35.0,71.29999999999998,115,5,105,0.525
lfr_facebook_pool,lfrpool_strong_facebook_like_seed1,effective_high,"Effectiveness high (0.5, 0.9)",0,misinformation,472.83,0.47283,8800.72,8.80072,3379.62,3.37962,lfr_strong_seed1,strong,1,facebook_like,20261902,v2/test_2/network/network-lfrpool_strong_facebook_like_seed1.toml,v2/test_2/network/lfr_facebook_pool/lfrpool_strong_facebook_like_seed1/edgelist.txt,v2/test_2/network/lfr_facebook_pool/lfrpool_strong_facebook_like_seed1/comm.csv,v2/test_2/network/lfr_facebook_pool/lfrpool_strong_facebook_like_seed1/lfr_communities.csv,0.645,0.381,0.526,129,76,105,3,9,5,9,11,5,1000,18404,36.808,32.0,61.0,101.02999999999997,0.4355018009048542,0.37615796322883566,119,12,0.8128791977080287,16980,1424,0.9226255161921322,0.07737448380786785,48,64.0,137,0.5005,0.2886749902572095,0.001,0.10090000000000002,0.25075000000000003,0.5005,0.75025,0.9001,1.0,0,1,200,38.28,33.0,64.19999999999999,119,3,129,0.645,200,35.815,32.0,58.19999999999999,118,9,76,0.38,200,41.53,35.0,71.29999999999998,115,5,105,0.525
lfr_facebook_pool,lfrpool_strong_facebook_like_seed1,effective_high,"Effectiveness high (0.5, 0.9)",1,corrective,689.4,0.6894,14088.17,14.08817,5828.53,5.82853,lfr_strong_seed1,strong,1,facebook_like,20261902,v2/test_2/network/network-lfrpool_strong_facebook_like_seed1.toml,v2/test_2/network/lfr_facebook_pool/lfrpool_strong_facebook_like_seed1/edgelist.txt,v2/test_2/network/lfr_facebook_pool/lfrpool_strong_facebook_like_seed1/comm.csv,v2/test_2/network/lfr_facebook_pool/lfrpool_strong_facebook_like_seed1/lfr_communities.csv,0.645,0.381,0.526,129,76,105,3,9,5,9,11,5,1000,18404,36.808,32.0,61.0,101.02999999999997,0.4355018009048542,0.37615796322883566,119,12,0.8128791977080287,16980,1424,0.9226255161921322,0.07737448380786785,48,64.0,137,0.5005,0.2886749902572095,0.001,0.10090000000000002,0.25075000000000003,0.5005,0.75025,0.9001,1.0,0,1,200,38.28,33.0,64.19999999999999,119,3,129,0.645,200,35.815,32.0,58.19999999999999,118,9,76,0.38,200,41.53,35.0,71.29999999999998,115,5,105,0.525
